Frequency_GHz,Phase00_deg,Phase01_deg,Phase10_deg,Phase11_deg,SelectedPhaseDifference_deg
11.24,-394.661402234768,-563.849436106683,-398.157423482352,-556.198113431475,-190.811966128085
11.248,-395.297885221769,-564.466558268294,-398.811537633969,-556.834528864474,-190.831326953475
11.256,-395.935951761124,-565.083815304132,-399.467413433457,-557.471262136269,-190.852136456992
11.264,-396.575636349009,-565.701197172986,-400.125087405261,-558.108302248808,-190.874439176023
11.272,-397.216973846539,-566.318693824753,-400.784596454702,-558.745638162237,-190.898280021786
11.28,-397.859999486464,-566.936295202256,-401.445977874391,-559.383258797036,-190.923704284208
11.288,-398.504748879946,-567.553991243053,-402.109269350697,-560.021153036159,-190.950757636893
11.296,-399.151258023414,-568.171771881259,-402.774508970248,-560.659309727205,-190.979486142155
11.304,-399.799563305493,-568.78962704936,-403.441735226485,-561.297717684599,-191.009936256133
11.312,-400.449701514011,-569.407546680039,-404.110987026236,-561.936365691781,-191.042154833973
11.32,-401.101709843084,-570.02552070799,-404.782303696342,-562.575242503419,-191.076189135094
11.328,-401.755625900269,-570.64353907175,-405.455724990297,-563.214336847629,-191.112086828519
11.336,-402.411487713793,-571.261591715513,-406.13129109492,-563.853637428204,-191.14989599828
11.344,-403.069333739847,-571.87966859095,-406.809042637046,-564.493132926867,-191.189665148897
11.352,-403.729202869953,-572.49775965903,-407.489020690229,-565.132812005512,-191.231443210923
11.36,-404.391134438386,-573.115854891832,-408.17126678146,-565.772663308477,-191.275279546554
11.368,-405.055168229671,-573.733944274361,-408.855822897882,-566.412675464809,-191.32122395531
11.376,-405.721344486123,-574.352017806351,-409.542731493509,-567.052837090545,-191.369326679771
11.384,-406.389703915453,-574.970065504072,-410.232035495925,-567.693136790993,-191.419638411382
11.392,-407.060287698428,-575.588077402127,-410.92377831298,-568.333563163021,-191.472210296302
11.4,-407.733137496565,-576.206043555243,-411.618003839449,-568.974104797352,-191.527093941321
11.408,-408.408295459877,-576.823954040058,-412.314756463661,-569.614750280859,-191.584341419819
11.416,-409.08580423466,-577.441798956898,-413.014081074088,-570.255488198861,-191.644005277761
11.424,-409.765706971299,-578.059568431545,-413.716023065886,-570.896307137427,-191.706138539754
11.432,-410.448047332121,-578.677252617005,-414.420628347355,-571.537195685671,-191.770794715116
11.44,-411.132869499245,-579.29484169525,-415.127943346352,-572.178142438052,-191.838027803995
11.448,-411.820218182463,-579.912325878969,-415.838015016594,-572.819135996673,-191.907892303493
11.456,-412.510138627123,-580.529695413297,-416.550890843881,-573.460164973572,-191.980443213825
11.464,-413.202676622004,-581.146940577535,-417.266618852199,-574.101217993012,-192.05573604447
11.472,-413.89787850719,-581.764051686857,-417.985247609694,-574.742283693771,-192.133826820333
11.48,-414.595791181915,-582.381019094011,-418.706826234518,-575.383350731416,-192.214772087904
11.488,-415.296462112389,-582.997833191,-419.431404400502,-576.024407780578,-192.298628921389
11.496,-415.99993933957,-583.614484410751,-420.159032342669,-576.665443537217,-192.385454928819
11.504,-416.706271486902,-584.230963228775,-420.889760862541,-577.306446720881,-192.475308258127
11.512,-417.41550776797,-584.847260164802,-421.62364133325,-577.947406076946,-192.568247603168
11.52,-418.127697994095,-585.463365784415,-422.360725704393,-578.588310378859,-192.66433220968
11.528,-418.842892581825,-586.079270700654,-423.101066506661,-579.22914843036,-192.763621881171
11.536,-419.561142560322,-586.694965575613,-423.844716856166,-579.869909067692,-192.866176984708
11.544,-420.282499578635,-587.310441122019,-424.591730458476,-580.510581161802,-192.972058456616
11.552,-421.007015912824,-587.925688104787,-425.342161612322,-581.151153620525,-193.081327808037
11.56,-421.734744472924,-588.54069734257,-426.096065212951,-581.791615390752,-193.194047130355
11.568,-422.465738809741,-589.155459709275,-426.853496755078,-582.431955460583,-193.310279100466
11.576,-423.200053121439,-589.769966135575,-427.614512335448,-583.072162861463,-193.430086985863
11.584,-423.937742259906,-590.384207610393,-428.379168654923,-583.712226670303,-193.553534649513
11.592,-424.678861736887,-590.998175182367,-429.147523020107,-584.352136011573,-193.68068655452
11.6,-425.423467729826,-591.611859961299,-429.919633344436,-584.991880059387,-193.811607768527
11.608,-426.171617087428,-592.22525311958,-430.69555814872,-585.631448039559,-193.946363967848
11.616,-426.923367334882,-592.838345893598,-431.475356561082,-586.270829231644,-194.085021441284
11.624,-427.678776678738,-593.451129585118,-432.25908831626,-586.910012970954,-194.22764709362
11.632,-428.437904011382,-594.063595562647,-433.046813754217,-587.548988650549,-194.374308448734
11.64,-429.200808915096,-594.675735262778,-433.838593818029,-588.187745723207,-194.525073652318
11.648,-429.967551665659,-595.287540191501,-434.634490050977,-588.826273703374,-194.680011474159
11.656,-430.73819323544,-595.899001925505,-435.434564592819,-589.464562169081,-194.839191309934
11.664,-431.512795295959,-596.510112113452,-436.238880175165,-590.10260076384,-195.002683182508
11.672,-432.291420219863,-597.120862477219,-437.047500115901,-590.740379198513,-195.170557742644
11.68,-433.074131082273,-597.731244813133,-437.860488312625,-591.377887253157,-195.34288626914
11.688,-433.860991661453,-598.341250993171,-438.677909234991,-592.015114778834,-195.519740668282
11.696,-434.652066438751,-598.950872966134,-439.499827915934,-592.652051699398,-195.701193472617
11.704,-435.447420597757,-599.56010275881,-440.326309941683,-593.288688013259,-195.887317838948
11.712,-436.247120022629,-600.168932477096,-441.157421440504,-593.925013795101,-196.078187545533
11.72,-437.051231295506,-600.77735430711,-441.993229070082,-594.561019197589,-196.273876988396
11.728,-437.859821692971,-601.385360516268,-442.833800003484,-595.196694453034,-196.474461176703
11.736,-438.672959181482,-601.99294345434,-443.679201913604,-595.832029875027,-196.680015727142
11.744,-439.4907124117,-602.600095554482,-444.529502956011,-596.467015860052,-196.890616857218
11.752,-440.313150711651,-603.206809334242,-445.384771750117,-597.101642889053,-197.106341377409
11.76,-441.140344078633,-603.813077396536,-446.245077358564,-597.735901528979,-197.327266682096
11.768,-441.972363169796,-604.41889243061,-447.110489264739,-598.369782434296,-197.553470739185
11.776,-442.809279291307,-605.024247212961,-447.981077348321,-599.003276348456,-197.785032078346
11.784,-443.651164386008,-605.629134608246,-448.856911858752,-599.636374105348,-198.022029777762
11.792,-444.49809101948,-606.233547570157,-449.738063386534,-600.2690666307,-198.264543449323
11.8,-445.350132364407,-606.837479142274,-450.624602832235,-600.901344943459,-198.512653222133
11.808,-446.20736218315,-607.440922458892,-451.5166013731,-601.533200157132,-198.766439724259
11.816,-447.069854808419,-608.043870745818,-452.414130427145,-602.164623481087,-199.0259840626
11.824,-447.937685121923,-608.646317321154,-453.317261614626,-602.795606221832,-199.291367800768
11.832,-448.810928530905,-609.248255596035,-454.226066716748,-603.426139784246,-199.56267293487
11.84,-449.689660942424,-609.849679075357,-455.140617631504,-604.056215672783,-199.839981867066
11.848,-450.573958735266,-610.45058135848,-456.060986326512,-604.685825492639,-200.123377376785
11.856,-451.463898729359,-611.050956139891,-456.987244788728,-605.314960950882,-200.412942589468
11.864,-452.359558152554,-611.650797209854,-457.919464970892,-605.943613857544,-200.708760942701
11.872,-453.261014604641,-612.250098455032,-458.857718734594,-606.571776126686,-201.010916149609
11.88,-454.168346018448,-612.848853859081,-459.802077789823,-607.19943977742,-201.319492159367
11.888,-455.081630617893,-613.447057503221,-460.752613630859,-607.826596934896,-201.634573114671
