Cx_val,Cy_val,frequency_GHz,real,imag,reference_impedance_ohm,magnitude_linear,magnitude_dB,phase_deg_wrapped,phase_deg_unwrapped
0.7,0.7,5.844,-0.621127954804,0.366046495734,376.730313667,0.720964613055,-2.84172102272,149.488073832,-210.511926168
0.7,0.7,5.85,-0.607982758896,0.386718380722,376.730313667,0.720551275832,-2.84670217018,147.540865487,-212.459134513
0.7,0.7,5.856,-0.594263407371,0.406940247728,376.730313667,0.720242572028,-2.8504242394,145.597400691,-214.402599309
0.7,0.7,5.862,-0.579990018004,0.426692276849,376.730313667,0.720037999071,-2.85289167272,143.658491435,-216.341508565
0.7,0.7,5.868,-0.565183550847,0.445955799392,376.730313667,0.719936817478,-2.85411232207,141.724937015,-218.275062985
0.7,0.7,5.874,-0.549865728331,0.464713338634,376.730313667,0.719938057264,-2.85409736431,139.79752167,-220.20247833
0.7,0.7,5.88,-0.534058953381,0.482948644124,376.730313667,0.720040525628,-2.85286119467,137.877012322,-222.122987678
0.7,0.7,5.886,-0.517786226154,0.500646719471,376.730313667,0.7202428158,-2.85042129958,135.964156457,-224.035843543
0.7,0.7,5.892,-0.501071059986,0.517793843611,376.730313667,0.720543316975,-2.84679811081,134.059680145,-225.940319855
0.7,0.7,5.898,-0.483937397113,0.53437758563,376.730313667,0.720940225225,-2.84201484239,132.164286219,-227.835713781
0.7,0.7,5.904,-0.466409524744,0.550386813277,376.730313667,0.721431555313,-2.83609731247,130.278652623,-229.721347377
0.7,0.7,5.9055,-0.461968833685,0.554298171666,376.730313667,0.721568892351,-2.83444395976,129.808846231,-230.191153769
0.7,0.7,5.91,-0.448511991962,0.565811695388,376.730313667,0.722015153284,-2.8290737517,128.403430928,-231.596569072
0.7,0.7,5.916,-0.430269527872,0.580643698461,376.730313667,0.722688709734,-2.82097460063,126.53924502,-233.46075498
0.7,0.7,5.922,-0.41170696129,0.594875577644,376.730313667,0.723449773551,-2.81183229924,124.686689946,-235.313310054
0.7,0.7,5.928,-0.392849142139,0.608501362213,376.730313667,0.724295765758,-2.80168107366,122.846330928,-237.153669072
0.7,0.7,5.934,-0.373720864875,0.621516335356,376.730313667,0.725223992955,-2.79055672706,121.018702525,-238.981297475
0.7,0.7,5.94,-0.354346794728,0.633917007937,376.730313667,0.726231659931,-2.7784964405,119.204308019,-240.795691981
0.7,0.7,5.946,-0.334751398288,0.645701086514,376.730313667,0.727315881706,-2.76553858098,117.40361906,-242.59638094
0.7,0.7,5.952,-0.31495887967,0.656867437202,376.730313667,0.728473696121,-2.75172250412,115.617075601,-244.382924399
0.7,0.7,5.958,-0.29499312198,0.66741604755,376.730313667,0.729702077935,-2.73708834055,113.845086025,-246.154913975
0.7,0.7,5.964,-0.274877632313,0.67734798733,376.730313667,0.730997953954,-2.7216767724,112.088027335,-247.911972665
0.7,0.7,5.97,-0.254635489107,0.686665367347,376.730313667,0.732358217696,-2.70552881831,110.346245357,-249.653754643
0.7,0.7,5.976,-0.234289292281,0.695371295128,376.730313667,0.733779742542,-2.68868563965,108.620055016,-251.379944984
0.7,0.7,5.982,-0.213861117295,0.703469827437,376.730313667,0.735259393415,-2.67118836784,106.909740755,-253.090259245
0.7,0.7,5.988,-0.193372473892,0.710965920371,376.730313667,0.736794037427,-2.65307794729,105.215557095,-254.784442905
0.7,0.7,5.994,-0.172844269662,0.717865377928,376.730313667,0.738380553903,-2.63439498947,103.537729335,-256.462270665
0.7,0.7,6,-0.152296778258,0.724174799688,376.730313667,0.740015843864,-2.61517963702,101.876454359,-258.123545641
0.7,0.7,6.006,-0.131749612042,0.729901528032,376.730313667,0.741696838942,-2.59547143832,100.231901533,-259.768098467
0.7,0.7,6.012,-0.111221698927,0.735053595206,376.730313667,0.743420509629,-2.5753092335,98.6042136528,-261.395786347
0.7,0.7,6.018,-0.0907312632325,0.739639670447,376.730313667,0.745183872763,-2.55473105313,96.9935079648,-263.006492035
0.7,0.7,6.024,-0.070295810299,0.743669007426,376.730313667,0.746983998189,-2.53377402989,95.3998772025,-264.600122797
0.7,0.7,6.03,-0.0499321145944,0.747151392273,376.730313667,0.748818014636,-2.51247432271,93.8233906466,-266.176609353
0.7,0.7,6.036,-0.0296562110666,0.750097092572,376.730313667,0.750683114996,-2.49086705091,92.2640951817,-267.735904818
0.7,0.7,6.042,-0.00948338963625,0.75251680773,376.730313667,0.752576561284,-2.4689862349,90.7220163511,-269.277983649
0.7,0.7,6.048,0.0105718070905,0.754421621025,376.730313667,0.754495689435,-2.44686474162,89.1971594292,-270.802840571
0.7,0.7,6.054,0.0304955828022,0.755822953301,376.730313667,0.756437913716,-2.42453423681,87.6895105306,-272.310489469
0.7,0.7,6.06,0.0502748833383,0.756732518087,376.730313667,0.758400730369,-2.40202514855,86.1990377522,-273.800962248
0.7,0.7,6.066,0.0698973898888,0.757162278054,376.730313667,0.760381720204,-2.37936664491,84.7256923177,-275.274307682
0.7,0.7,6.072,0.089351510044,0.757124402955,376.730313667,0.76237855026,-2.35658662396,83.2694096924,-276.730590308
0.7,0.7,6.078,0.108626367012,0.756631229337,376.730313667,0.764388974814,-2.33371171261,81.8301106518,-278.169889348
0.7,0.7,6.084,0.127711787159,0.755695222257,376.730313667,0.766410835989,-2.31076727126,80.4077023076,-279.592297692
0.7,0.7,6.09,0.146598285956,0.754328939098,376.730313667,0.768442064053,-2.28777740286,79.002079096,-280.997920904
0.7,0.7,6.096,0.165277052469,0.752544995488,376.730313667,0.770480677439,-2.26476496595,77.613123734,-282.386876266
0.7,0.7,6.102,0.183739932519,0.750356033313,376.730313667,0.772524782471,-2.24175159165,76.2407081449,-283.759291855
0.7,0.7,6.108,0.201979410713,0.747774690771,376.730313667,0.774572572784,-2.21875770443,74.8846943505,-285.115305649
0.7,0.7,6.114,0.219988591499,0.744813574453,376.730313667,0.776622328471,-2.19580254641,73.5449353302,-286.45506467
0.7,0.7,6.12,0.237761179428,0.741485233403,376.730313667,0.778672414946,-2.17290420478,72.2212758436,-287.778724156
0.7,0.7,6.126,0.255291458782,0.737802135118,376.730313667,0.780721281579,-2.15007964195,70.9135532168,-289.086446783
0.7,0.7,6.132,0.272574272697,0.733776643455,376.730313667,0.782767460116,-2.12734472788,69.6215980907,-290.378401909
0.7,0.7,6.138,0.289605001944,0.729420998378,376.730313667,0.784809562904,-2.10471427436,68.3452351323,-291.654764868
0.7,0.7,6.144,0.306379543468,0.724747297498,376.730313667,0.786846280976,-2.0822020706,67.0842837081,-292.915716292
0.7,0.7,6.15,0.322894288806,0.719767479339,376.730313667,0.788876381988,-2.05982092001,65.8385585206,-294.161441479
0.7,0.7,6.156,0.339146102496,0.714493308269,376.730313667,0.790898708053,-2.03758267772,64.6078702084,-295.392129792
0.7,0.7,6.162,0.355132300558,0.708936361011,376.730313667,0.792912173487,-2.01549828851,63.3920259113,-296.607974089
0.7,0.7,6.168,0.370850629138,0.703108014685,376.730313667,0.794915762484,-1.99357782503,62.1908297997,-297.8091702
0.7,0.7,6.174,0.386299243388,0.69701943628,376.730313667,0.796908526743,-1.97183052593,61.004083572,-298.995916428
0.7,0.7,6.18,0.40147668666,0.690681573508,376.730313667,0.798889583056,-1.95026483383,59.8315869185,-300.168413081
0.7,0.7,6.186,0.416381870049,0.684105146935,376.730313667,0.800858110884,-1.92888843284,58.6731379547,-301.326862045
0.7,0.7,6.192,0.431014052371,0.677300643344,376.730313667,0.802813349924,-1.90770828547,57.5285336247,-302.471466375
0.7,0.7,6.198,0.44537282059,0.670278310236,376.730313667,0.804754597683,-1.88673066892,56.3975700763,-303.602429924
0.7,0.7,6.204,0.459458070753,0.663048151399,376.730313667,0.806681207078,-1.8659612104,55.2800430082,-304.719956992
0.7,0.7,6.21,0.473269989468,0.655619923491,376.730313667,0.808592584068,-1.84540492152,54.1757479919,-305.824252008
0.7,0.7,6.216,0.486809035945,0.648003133557,376.730313667,0.810488185341,-1.82506623145,53.0844807684,-306.915519232
0.7,0.7,6.222,0.500075924657,0.640207037423,376.730313667,0.812367516084,-1.80494901868,52.0060375214,-307.993962479
0.7,0.7,6.228,0.513071608662,0.632240638925,376.730313667,0.814230127866,-1.78505664086,50.9402151262,-309.059784874
0.7,0.7,6.234,0.525797263695,0.624112689918,376.730313667,0.816075616733,-1.76539196197,49.886811373,-310.113188627
0.7,0.7,6.24,0.538254273288,0.615831690983,376.730313667,0.817903621664,-1.74595737512,48.8456251528,-311.154374847
0.7,0.7,6.246,0.550444215538,0.607405892517,376.730313667,0.819713823651,-1.72675481823,47.8164565643,-312.183543436
0.7,0.7,6.252,0.562368853006,0.598843294465,376.730313667,0.821505945296,-1.70778578396,46.7991067956,-313.200893204
0.7,0.7,6.258,0.574030126248,0.590151636212,376.730313667,0.823279745629,-1.68905137984,45.7933773512,-314.206622649
0.7,0.7,6.264,0.585430121818,0.581338355572,376.730313667,0.825034975738,-1.67055279996,44.799068984,-315.200931016
0.7,0.7,6.27,0.596570919987,0.572410623715,376.730313667,0.826771301337,-1.65229213792,43.8159898988,-316.184010101
0.7,0.7,6.276,0.607454705259,0.563375632027,376.730313667,0.828488576688,-1.63426950628,42.843963723,-317.156036277
0.7,0.7,6.282,0.618084059354,0.554240296194,376.730313667,0.830186852674,-1.61648297291,41.8828009857,-318.117199014
0.7,0.7,6.288,0.628461607464,0.545011117363,376.730313667,0.831866040962,-1.59893208849,40.9323084217,-319.067691578
0.7,0.7,6.294,0.638589984398,0.535694389654,376.730313667,0.833526032755,-1.58161663405,39.9922999052,-320.007700095
0.7,0.7,6.3,0.648471900105,0.526296214613,376.730313667,0.835166756248,-1.56453602116,39.0625934752,-320.937406525
0.7,0.7,6.306,0.658110143255,0.516822486657,376.730313667,0.836788171145,-1.54768935258,38.1430098796,-321.85699012
0.7,0.7,6.312,0.667507571579,0.507278890679,376.730313667,0.838390261777,-1.53107549654,37.2333723291,-322.766627671
0.7,0.7,6.315,0.672116889711,0.502482612058,376.730313667,0.839184061369,-1.52285546591,36.782228749,-323.217771251
0.7,0.7,6.318,0.676667102231,0.497670904803,376.730313667,0.839973033335,-1.51469312786,36.3335065071,-323.666493493
0.7,0.7,6.324,0.68559170325,0.48800380472,376.730313667,0.841536509598,-1.49854075305,35.4432406141,-324.556759386
0.7,0.7,6.33,0.694284385884,0.478282668527,376.730313667,0.843080731304,-1.48261672859,34.5624054065,-325.437594593
0.7,0.7,6.336,0.702748197573,0.468512381741,376.730313667,0.844605754798,-1.46691927593,33.6908342258,-326.309165774
0.7,0.7,6.342,0.710986215445,0.458697642388,376.730313667,0.846111650839,-1.45144649469,32.8283630184,-327.171636982
0.7,0.7,6.348,0.719001540278,0.448842966118,376.730313667,0.847598503512,-1.43619637469,31.9748303489,-328.025169651
0.7,0.7,6.354,0.726797290883,0.438952691312,376.730313667,0.849066409208,-1.42116680702,31.1300774063,-328.869922594
0.7,0.7,6.36,0.734376598864,0.429030984185,376.730313667,0.850515475667,-1.40635559433,30.2939480056,-329.706051994
0.7,0.7,6.366,0.741742603747,0.419081843844,376.730313667,0.851945821079,-1.39176046041,29.4662885843,-330.533711416
0.7,0.7,6.372,0.748898448455,0.40910910732,376.730313667,0.853357573231,-1.37737905915,28.6469481955,-331.353051805
0.7,0.7,6.378,0.755847275101,0.399116454535,376.730313667,0.854750868709,-1.3632089829,27.8357784961,-332.164221504
0.7,0.7,6.384,0.762592221095,0.389107413219,376.730313667,0.856125852137,-1.34924777022,27.0326337336,-332.967366266
0.7,0.7,6.39,0.769136415541,0.379085363749,376.730313667,0.857482675464,-1.3354929132,26.237370728,-333.762629272
0.7,0.7,6.396,0.775482975909,0.369053543925,376.730313667,0.85882149729,-1.32194186418,25.4498488527,-334.550151147
0.7,0.7,6.402,0.781635004971,0.359015053652,376.730313667,0.860142482234,-1.30859204204,24.6699300121,-335.330069988
0.7,0.7,6.408,0.787595587987,0.348972859543,376.730313667,0.861445800335,-1.29544083805,23.8974786175,-336.102521383
0.7,0.7,6.414,0.793367790124,0.338929799434,376.730313667,0.862731626492,-1.28248562127,23.1323615609,-336.867638439
0.7,0.7,6.42,0.798954654092,0.328888586793,376.730313667,0.864000139941,-1.26972374358,22.3744481877,-337.625551812
0.7,0.7,6.426,0.804359198003,0.318851815046,376.730313667,0.86525152376,-1.25715254429,21.6236102668,-338.376389733
0.7,0.7,6.432,0.809584413418,0.308821961788,376.730313667,0.866485964417,-1.24476935434,20.8797219607,-339.120278039
0.7,0.7,6.438,0.814633263591,0.298801392901,376.730313667,0.86770365134,-1.23257150023,20.1426597927,-339.857340207
0.7,0.7,6.441,0.817092469598,0.293795299876,376.730313667,0.868306272062,-1.22654123828,19.7766505616,-340.223349438
0.7,0.7,6.444,0.819508681895,0.288792366559,376.730313667,0.868904776534,-1.22055630743,19.4123026145,-340.587697385
0.7,0.7,6.45,0.824213570421,0.278797037129,376.730313667,0.870089534231,-1.20872110345,18.6885315714,-341.311468429
0.7,0.7,6.456,0.828750798777,0.26881745895,376.730313667,0.871258120599,-1.19706322029,17.9712300654,-342.028769935
0.7,0.7,6.462,0.83312320307,0.258855589995,376.730313667,0.872410733522,-1.18557999619,17.2602837168,-342.739716283
0.7,0.7,6.468,0.837333585167,0.248913295373,376.730313667,0.873547572524,-1.17426877591,16.5555803194,-343.444419681
0.7,0.7,6.474,0.84138471238,0.238992350624,376.730313667,0.874668838981,-1.16312690815,15.8570097848,-344.142990215
0.7,0.7,6.48,0.845279318076,0.229094444606,376.730313667,0.875774737085,-1.15215173558,15.1644640562,-344.835535944
0.7,0.7,6.486,0.849020105013,0.219221181307,376.730313667,0.876865477168,-1.14134056152,14.4778369226,-345.522163077
0.7,0.7,6.492,0.852609759847,0.209374077264,376.730313667,0.877941288935,-1.13069051888,13.7970234075,-346.202976593
0.7,0.7,6.498,0.856051045592,0.199554526781,376.730313667,0.879002503875,-1.12019775637,13.121916032,-346.878083968
0.7,0.7,6.504,0.859350223265,0.189761585893,376.730313667,0.880052422135,-1.10982914868,12.4522160807,-347.547783919
0.7,0.7,6.51,0.862495858265,0.180004552845,376.730313667,0.881079306629,-1.09969997293,11.7885281455,-348.211471855
0.7,0.7,6.516,0.865506925845,0.170275876256,376.730313667,0.882097564174,-1.08966754365,11.129968019,-348.870031981
0.7,0.7,6.522,0.868379127309,0.160580037948,376.730313667,0.883101498885,-1.07978756214,10.4767458922,-349.523254108
0.7,0.7,6.528,0.871115169462,0.15091807824,376.730313667,0.884091570374,-1.07005500633,9.82876090401,-350.171239096
0.7,0.7,6.534,0.873717483816,0.141291037638,376.730313667,0.885068019331,-1.06046703158,9.18592109164,-350.814078908
0.7,0.7,6.54,0.876188428638,0.131699909121,376.730313667,0.886031053937,-1.05102113072,8.54813735607,-351.451862644
0.7,0.7,6.546,0.878530313967,0.122145633511,376.730313667,0.886980872593,-1.04171490927,7.91532263683,-352.084677363
0.7,0.7,6.552,0.880745407624,0.112629100023,376.730313667,0.887917669169,-1.03254603315,7.28739168756,-352.712608312
0.7,0.7,6.558,0.882835937278,0.103151147891,376.730313667,0.888841634635,-1.02351221211,6.66426098045,-353.33573902
0.7,0.7,6.564,0.884804091412,0.0937125682524,376.730313667,0.889752957639,-1.01461119356,6.04584864875,-353.954151351
0.7,0.7,6.57,0.886652019914,0.0843141060792,376.730313667,0.890651824734,-1.00584075986,5.43207444318,-354.567925557
0.7,0.7,6.576,0.888381834538,0.0749564620875,376.730313667,0.891538420454,-0.997198727134,4.82285969437,-355.177140306
0.7,0.7,6.582,0.889995609313,0.0656402945975,376.730313667,0.892412927334,-0.988682944613,4.2181272783,-355.781872722
0.7,0.7,6.588,0.89149538095,0.0563662213355,376.730313667,0.893275525895,-0.98029129435,3.61780158344,-356.382198417
0.7,0.7,6.594,0.892883149243,0.047134821174,376.730313667,0.894126394627,-0.972021690992,3.02180847907,-356.978191521
0.7,0.7,6.6,0.89416087749,0.0379466358093,376.730313667,0.89496570996,-0.963872081629,2.43007528443,-357.569924716
0.7,0.7,6.606,0.895330492924,0.0288021713774,376.730313667,0.895793646235,-0.95584044566,1.84253073858,-358.157469261
0.7,0.7,6.612,0.896393887152,0.0197019000103,376.730313667,0.896610375686,-0.947924794637,1.25910497095,-358.740895029
0.7,0.7,6.618,0.897352916617,0.010646261332,376.730313667,0.89741606841,-0.940123172115,0.679729472392,-359.320270528
0.7,0.7,6.624,0.89820940306,0.00163566389866,376.730313667,0.898210892353,-0.932433653461,0.104337066817,-359.895662933
0.7,0.7,6.6285,0.898785550615,-0.00509249686594,376.730313667,0.898799977481,-0.926738942684,-0.324633006297,-360.324633006
0.7,0.7,6.63,0.898965134006,-0.00732951341774,376.730313667,0.898995013293,-0.924854345658,-0.467138116571,-360.467138117
0.7,0.7,6.636,0.899621863243,-0.0162489200987,376.730313667,0.899768594822,-0.917383387075,-1.03476067057,-361.034760671
0.7,0.7,6.642,0.900181311325,-0.0251222327005,376.730313667,0.900531798347,-0.910018947222,-1.59859393674,-361.598593937
0.7,0.7,6.648,0.90064516607,-0.0339491536257,376.730313667,0.901284783072,-0.902759226484,-2.15870003155,-362.158700032
0.7,0.7,6.654,0.901015083072,-0.0427294099424,376.730313667,0.902027706003,-0.895602455825,-2.71513987215,-362.715139872
0.7,0.7,6.66,0.901292686211,-0.05146275225,376.730313667,0.902760721945,-0.888546896486,-3.26797320145,-363.267973201
0.7,0.7,6.666,0.901479568171,-0.0601489535901,376.730313667,0.903483983504,-0.88159083965,-3.81725861273,-363.817258613
0.7,0.7,6.672,0.901577290961,-0.0687878083985,376.730313667,0.904197641094,-0.874732606091,-4.36305357369,-364.363053574
0.7,0.7,6.678,0.901587386436,-0.0773791314986,376.730313667,0.904901842948,-0.867970545792,-4.90541444984,-364.90541445
